Areaname,STCOU,AGN020197F,AGN020197D,AGN020197N1,AGN020197N2,AGN020202F,AGN020202D,AGN020202N1,AGN020202N2,AGN020207F
UNITED STATES,00000,0,1911859,0000,0000,0,2128982,0000,0000,0
ALABAMA,01000,0,41384,0000,0000,0,45126,0000,0000,0
"Autauga, AL",01001,0,348,0000,0000,0,373,0000,0000,0
"Baldwin, AL",01003,0,977,0000,0000,0,1062,0000,0000,0
"Barbour, AL",01005,0,417,0000,0000,0,531,0000,0000,0
"Bibb, AL",01007,0,177,0000,0000,0,187,0000,0000,0
"Blount, AL",01009,0,1191,0000,0000,0,1248,0000,0000,0
"Bullock, AL",01011,0,277,0000,0000,0,273,0000,0000,0
"Butler, AL",01013,0,440,0000,0000,0,425,0000,0000,0
"Calhoun, AL",01015,0,629,0000,0000,0,673,0000,0000,0
"Chambers, AL",01017,0,324,0000,0000,0,306,0000,0000,0
"Cherokee, AL",01019,0,494,0000,0000,0,546,0000,0000,0
"Chilton, AL",01021,0,663,0000,0000,0,667,0000,0000,0
"Choctaw, AL",01023,0,225,0000,0000,0,244,0000,0000,0
"Clarke, AL",01025,0,248,0000,0000,0,284,0000,0000,0
"Clay, AL",01027,0,397,0000,0000,0,427,0000,0000,0
"Cleburne, AL",01029,0,340,0000,0000,0,326,0000,0000,0
"Coffee, AL",01031,0,788,0000,0000,0,854,0000,0000,0
"Colbert, AL",01033,0,557,0000,0000,0,584,0000,0000,0
"Conecuh, AL",01035,0,366,0000,0000,0,369,0000,0000,0
"Coosa, AL",01037,0,213,0000,0000,0,228,0000,0000,0
"Covington, AL",01039,0,899,0000,0000,0,1013,0000,0000,0
"Crenshaw, AL",01041,0,488,0000,0000,0,570,0000,0000,0
"Cullman, AL",01043,0,2151,0000,0000,0,2301,0000,0000,0
"Dale, AL",01045,0,422,0000,0000,0,459,0000,0000,0
"Dallas, AL",01047,0,435,0000,0000,0,490,0000,0000,0
"DeKalb, AL",01049,0,2080,0000,0000,0,2177,0000,0000,0
"Elmore, AL",01051,0,560,0000,0000,0,633,0000,0000,0
"Escambia, AL",01053,0,380,0000,0000,0,444,0000,0000,0
"Etowah, AL",01055,0,904,0000,0000,0,974,0000,0000,0
"Fayette, AL",01057,0,305,0000,0000,0,365,0000,0000,0
"Franklin, AL",01059,0,833,0000,0000,0,929,0000,0000,0
"Geneva, AL",01061,0,872,0000,0000,0,998,0000,0000,0
"Greene, AL",01063,0,261,0000,0000,0,349,0000,0000,0
"Hale, AL",01065,0,411,0000,0000,0,433,0000,0000,0
"Henry, AL",01067,0,334,0000,0000,0,346,0000,0000,0
"Houston, AL",01069,0,690,0000,0000,0,700,0000,0000,0
"Jackson, AL",01071,0,1296,0000,0000,0,1375,0000,0000,0
"Jefferson, AL",01073,0,426,0000,0000,0,463,0000,0000,0
"Lamar, AL",01075,0,387,0000,0000,0,463,0000,0000,0
